hotels,names,titles,star_ratting,location,date,comments,replies
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",JoyceC3427,服務與設備都很棒！,5,,2017年6月,服務人員非常親切，健身房設備與教練專業度100分，游泳池視野超好、水溫適中，使用起來非常舒服，40樓的資生堂Qi spa非常棒，按摩手法專業、穴點到位，空間獨立、安靜，還能看到象山、101，湯池夠大，泡湯很過癮。非常適合來放鬆渡假。,"親愛的貴賓, 

非常謝謝您選擇本酒店消費並撥冗回饋分享您此次的經驗。您的意見將做為我們延續服務水準與改進的參考和依據, 我們衷心期盼能再度歡迎您回來, 並竭誠為您服務!

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",JodiC1023,舒適及貼心的服務,5,,2017年4月,選擇與家人住宿台北香格里拉，房間寬敞舒適且安靜， 一定要到頂樓泳池欣賞台北的夜景，令人難忘！員工整體素質高，面帶微笑細心服務，耐心聆聽我們的需求， 很棒！,"親愛的貴賓, 非常謝謝您選擇本酒店消費並撥冗回饋分享您此次的經驗。您的意見將做為我們延續服務水準與改進的參考和依據, 我們衷心期盼能再度歡迎您回來, 並竭誠為您服務!

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Candy-MW,舒服信任的酒店,4,香港,2017年4月,"去過台北N次，但要說舒服信任我還是首選香格里拉遠東飯店。房間大小適中，清靜簡潔。 工作人員服務周到，偶然有小毛病，但最後都可以處理得妥妥當當。總的來說，商務旅行不作他選。

自由行的話，可能沒有台北車站周邊那麼方便。但是距離捷運六張犁站只是大約5分鐘路程，亦接近夜市，其實也滿不錯。

還有每天送上的新鮮水果，蠻貼心的。","尊敬的住客, 

感謝您選擇入住本飯店。長久以來, 我們致力於為顧客提供舒適及完善的服務品質而努力，再次感謝您寶貴的建言與住宿分享, 也希冀在不久的將來能再次歡迎您回來並為您服務。

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",bobopp,舒適,4,,2017年6月,位於信義區，地點便利，去哪裡都很方便。房間空間頗大，最讚是看到一點台北一零一的景色。床很舒適，可一夜好眠，值得推介。,"親愛的住客, 

非常謝謝您選擇本酒店並撥冗回饋分享您此次的各類住宿經驗。您的意見將做為我們延續服務水準與改進的參考和依據, 我們衷心期盼能再度歡迎您回來, 並竭誠為您服務!

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",kingkingng,很棒的住宿體驗,5,,2017年1月,"酒店的熱情好客的服務, 工作人員都很熱情親切有禮， 酒店設備設施都很齊全好用, 質素很高, 一分錢一分貨, 很棒的住宿體驗.","親愛的住客, 

非常謝謝您選擇本酒店並撥冗回饋分享您此次的各類住宿經驗。您的意見將做為我們延續服務水準與改進的參考和依據, 我們衷心期盼能再度歡迎您回來, 並竭誠為您服務!

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Tour810594,住宿心得,5,Taipei,2017年5月,一走進大廳感覺富麗堂皇 也有很多外國人入住 也因為是這樣 所以身為本國人的我們卻沒有人主動過來招呼入住手續 櫃檯人員明顯人力不足 致使入住手續冗長 雖然訂的是行政套房 但感覺跟一般房客沒兩樣 另外客房內居然除了廁所內有衛生紙 房間內居然沒有 還要特地跑到廁所拿 馬桶不是免治的 除此之外 其他的沒有什麼缺點 頂樓泳池的view很好...更多,"親愛的住客, 

感謝您選擇入住本飯店。也非常謝謝您利用寶貴的時間與我們分享您的住宿經驗。我們知道您對於整體服務及設備感到滿意。您的意見也將做為我們持續進步的參考和依據, 我們衷心期盼歡迎您回來並再度為您服務!

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",622che,入住Plaza Suite體驗舒適滿意,5,Taichung,2017年5月,Plaza Suite寬敞舒適，房間位於27樓，廁所乾淨寬敞，洗澡備品是歐舒丹，飯店服務人員親切，早餐在六樓體驗（因為種類較多），煮麵攤位廚師可能為新手，不問顧客要吃什麼開始亂煮，導致前一位排隊的先生破口大罵，我也沒拿到自己想吃的麵食，可以再改進！飲料為現榨，食物中西式種類繁多，可以滿足各個國家的住客！,"尊敬的住客, 

感謝您選擇入住本飯店。長久以來, 我們致力於為顧客提供舒適及完善的服務品質而努力，再次感謝您寶貴的建言, 也希冀在不久的將來能再次為您服務。

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",mauroi64,超贊的入住體驗,5,日本神戶市,,我和我的家人在地平線俱樂部的尊貴客房（享有台北101大廈的景色）住了兩晚。所有這一切都很完美，超棒的房間，可靠和智能的服務，優越的地理位置和超級美味的早餐。地平線俱樂部的客服服務誠摯而又高效，強烈推薦！更多,"Dear Valued Guest, 

We thank you very much for the pleasant feedback and comments received. Our attempt is to ensure...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Wendy C,超級棒的體驗和服務,5,猶他州西班牙福克,,我們一家去旅行參加了來自美國的家庭婚禮，並且在這個酒店住了一晚。我們的房間是私人的，乾淨且舒適。台北城的風景精妙絕倫。服務超級棒！！世界一流！更多,"Dear Valued Guest, 

We thank you very much for the pleasant feedback and comments received and are pleased to know...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Sunshine813145,精緻愉悅的週末行,5,台灣墾丁國家公園,2017年4月,親切有效率的訂房服務，解說明瞭、禮貌大方的櫃檯。景觀怡人的頂樓雲天泳池，菜色多元，中式西式及印度的早餐令人驚艷,"親愛的住客, 

感謝您選擇入住本飯店。也非常謝謝您利用寶貴的時間與我們分享您的住宿經驗。我們知道您對於整體服務及設備感到滿意。您的意見也將做為我們持續進步的參考和依據, 我們衷心期盼歡迎您回來並再度為您服務!

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",designbyjun,迷人的夜景，讓你再晚都會看著窗外入眠,5,台灣台北,2016年7月,窗外的景色十分迷人，尤其是頂樓的泳池可以一覽無際的台北不夜城，房內的舒適度真的很令人讚嘆，樓下也有百貨商場可以逛，唯一是距離捷運站稍微有點遠了些。,"尊敬的住客, 

感謝您選擇入住本飯店。長久以來, 我們致力於為顧客提供舒適及完善的服務品質而努力，再次感謝您寶貴的建言, 也希冀在不久的將來能再次為您服務。

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",samuelhoky,麻雀雖小，五臓俱全,4,香港,2017年4月,相對其他香格里拉而言，這裡的房間比較細，有點舊了，地點也不算太好。在 check in 時，還感到有點不到位，當時有點失望！但住下來，就感到各樣配套和設計非常貼心，齊全到位！另外在 6/F 有著中西餐廳，健身房，還連著商場，真的方便！早上去到頂樓游泳，更是景觀一流，絕對值得一讚！,"尊敬的住客, 感谢您选择入住本饭店。长久以来, 我们致力于为顾客提供舒适及完善的服务质量而努力，再次感谢您宝贵的建言, 也希冀在不久的将来能再次为您服务。

即祝   钧安

梁发宗
总经理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",FellowTraveler385463,推薦遠東cafe下午茶,5,Taipei,2017年4月,於4/1遠東cafe光顧下午茶，餐點樣式多，不乏中式、西式、印度咖哩、日式料理與點心，還有哈根達斯冰淇淋可享用，同樣的價格和其他家buffet來說非常滿意。,"親愛的住客, 

非常謝謝您選擇本酒店並撥冗回饋分享您此次的各類住宿經驗。您的意見將做為我們延續服務水準與改進的參考和依據, 我們衷心期盼能再度歡迎您回來, 並竭誠為您服務!

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",aj_alicia,非常舒適，像家裡一樣,4,新加坡新加坡,,這裏的服務特別的好，員工很有禮貌也很周到。日本餐廳的價格有點高，食物就一般般。這裏的地理位置對於遊客來說可能不是很方便，但是對於出差人士來說就還好，我還會考慮再來的。更多,"Dear Valed Guest, 

We thank you very much for taking the trouble to feedback us your comments and we look...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",huwenhou,台北香格里拉,5,上海地區上海市,,周邊環境很安靜，值得一提的是樓頂的泳池晚上可以看到台北101全景，客房服務很細心周到，唯一的遺憾是浴缸不夠理想，太長太滑使用起來不是很舒適。,"尊敬的住客, 

感谢您选择入住本饭店。长久以来, 我们致力于为顾客提供舒适及完善的服务质量而努力，再次感谢您宝贵的建言, 也希冀在不久的将来能再次为您服务。

即祝   钧安

梁发宗
总经理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",維廷 洪,感謝訂房人員,5,,2017年3月,"特別感謝訂房人員vivian的大力幫忙，讓在假日出遊的我可以入住到很棒的房間, 隔音不錯，也有快速電梯可以搭乘，人員服務也很棒，謝謝邵小姐的熱心服務","尊敬的住客, 

感謝您選擇入住本飯店。長久以來, 我們致力於為顧客提供舒適及完善的服務品質而努力，再次感謝您寶貴的建言, 也希冀在不久的將來能再次為您服務。

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",CKENC,絕對要一試的香格里拉,5,,2016年8月,如果要試一試香格里拉的質素，絕對要到台北這間香格里拉入住。雖然旅店離台北捷運站有一段隔離，但乘搭計程車到台北車站只是NT$200內，十分方便。房間的質數十分高，而且服務質素非常良好。,"親愛的住客, 

感謝您選擇入住本飯店。也非常謝謝您利用寶貴的時間與我們分享您的住宿經驗。我們知道您對於整體服務及設備感到滿意。您的意見也將做為我們持續進步的參考和依據, 我們衷心期盼歡迎您回來並再度為您服務!

即祝   鈞安

梁發宗
總經理"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Yi Jung C,101夜景,5,,2016年9月,浴室空間挺大的，還有椅子可以坐著卸妝。一般備品為飯店自家的，不過香格里拉的沐浴備品為歐舒丹，真不錯。房間沒有太多華麗的擺設與裝潢，不過舒適又乾淨，住起來挺舒服的。,"親愛的住客, 

非常謝謝您選擇本酒店並撥冗回饋分享您此次的各類住宿經驗。您的意見將做為我們延續服務水準與改進的參考和依據, 我們衷心期盼能再度歡迎您回來, 並竭誠為您服務!"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",MissBlue Y,台北最舒服酒店,5,,2016年5月,"台北香格里拉旁有遠東百貨，最低層有食街。有出名豆花等小食，而附近有較企理小店食店。有靜中帶旺感覺
而早餐整豐富，有粥有新鮮果汁，更有台灣地道梅。
房內浴缸上有吹氣枕，為各間香格里拉最特別之一。","親愛的住客, 感謝您選擇入住本飯店。也非常謝謝您利用寶貴的時間與我們分享您的住宿經驗。我們知道您對於整體服務及設備感到滿意。您的意見也將做為我們持續進步的參考和依據, 我們衷心期盼歡迎您回來並再度為您服務!"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",FSTaipei,在台北，哪間飯店能感動你？,5,敘利亞大馬士革,2017年2月,"這並非是我第一次入住台北遠東香格里拉飯店；當然也不會是最後一次。 

自1999年11月4日下榻過這間全台北市最高的飯店（現在仍舊為全台北市最高的飯店）之後，我就接二連三的入住，並將它做為我每次“渡假放鬆”飯店首要的選擇，在台北。 

不僅僅是因為它樓高、客房擁有絕佳的城市景觀視野、以及美味的餐飲…更棒的是，台北遠東香格里拉的軟...更多","親愛的住客, 

感謝您選擇入住本飯店。也非常謝謝您利用寶貴的時間與我們分享您的住宿經驗。我們知道您對於整體服務及設備感到滿意。您的意見將做為我們持續進步的參考和依據, 我們衷心期盼能歡迎您回來並再度為您服務!

敬祝

       身體健康   萬事如意"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",exesuite1,亞洲探險,5,Capitol Heights,,在亞洲旅行時最好的住宿地點。地理位置極佳，員工非常棒。早餐是我在台北吃過最好的，而且非常喜愛早上提供的新鮮果汁。如果有可能我都會住在這家酒店。更多,"Dear Valued Guest, 

We thank you very much for your kind comments shared online which is very encouraging and cannot...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",darre77,非常完美的服務，良好的房間，你可以充滿期地待到達這裏,5,新加坡新加坡,,這個酒店的照片並不是特別的符合。我很驚訝，香格里拉台北遠東國際大酒店是如何做到一直保持優秀的服務標準。從前台到俱樂部，每個工作人員都很開心的而且樂於助人的。我們真的很喜歡the Horizon Premiere Room。酒店有很大空間，真的值得預約。更多,"Dear Valued Guest, 

We thank you so much for your nice comments shared online. This is very encouraging and we...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",LINDA0325,美好的服務,4,花蓮市,2017年1月,從入住都離開都可以感受到飯店的價值所在！獨自帶孩子旅行的我，在辦理入住及退房手續，都有服務人員協助照顧孩子！,"親愛的住客, 

非常謝謝您選擇本酒店並撥冗回饋分享您此次的各類住宿經驗。您的意見將做為我們延續服務水平與改進的參考和依據, 我們衷心期盼能再度歡迎您回來, 並竭誠為您服務!"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Adventurer689491,很棒的旅遊經驗,5,,2016年12月,"這次到台北度假，嘗試到香格里拉飯店進駐，空間跟服務都非常好，尤其是前檯的Star非常感謝她在住宿時解決我們很多的問題還有麻煩事項，對此感到滿意。
期望還有機會可以到台北遊玩，推薦給大家。","親愛的住客, 非常謝謝您選擇本酒店並撥冗回饋分享您此次的各類住宿經驗。您的意見將做為我們延續服務水平與改進的參考和依據, 我們衷心期盼能再度歡迎您回來, 並竭誠為您服務!"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",mannythetraveller,絕對的“我還會回來的”,5,,,我愉快地結束了這段訪問，因為酒店服務員都很友好，尤其是前台的Star，當我要在短時間內找一些東西的時候，他非常肯幫忙。感謝工作人員的全程支持！！更多,"Dear Valued Guest, 

We thank you very much for the pleasant feedback and comments received after your recent stay. This...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Yv,香宮午餐經驗,2,Taipei,2016年12月,今天12/26中午帶著家人ㄧ行共三人於香宮享用火鍋，點了2900的火鍋套餐⋯份量不足，所以再加點港式點心，但是餐廳人手嚴重不足，無法確認餐點狀況連餐具都必須ㄧ問再問才拿到⋯可惜的是餐飲品質不錯，但是餐廳人手太少以至於整體用餐經驗不佳，實在可惜⋯更多,"Yveea您好：

在此代表香格里拉台北遠東國際大飯店，感謝您提供的寶貴意見，做為我們改進的依據。本飯店一本服務宗旨，為提供所有賓客完善舒適的服務與享受；為此，我們衷心期望能夠得到客人的認同與意見，以協助公司達到此項目標。我們將會加強並不斷改進及提升我們整體的服務品質，同時期盼閣下能夠更加了解我們非常重視顧客所給予的批評與指教。...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",williamlJ398RN,愉快的台北之旅,5,日本沖繩市,,很棒的五星級酒店，工作人員都熱情友好，在這裡能夠欣賞到整個城市的美麗風景，頂層的泳池也相當不錯，景色十分宜人，這裏的食物也非常好吃，在亞洲當地，這是一個相當不錯的酒店，景色優美，選擇多樣，值得推薦更多,"Dear williamlJ398RN,

Thank you for taking the time to share your recent Shangri-La experiences on tripadvisor.

We are delighted to...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",James Q,非常棒的住宿體驗,5,瑞士洛桑,,我的真實感受是：獨一無二。從工作人員到機場熱烈歡迎我們開始到前台的辦理入住，毫無疑問，比其他酒店更快，更順利。在這個很棒的酒店共住了2晚，酒店位置優越，交通便利，你只需步行10分鐘即可到達購物中心，往另一個方向走10分鐘，你可以購買一些本地特色的商品，真的很值得一去！更多,"Dear James Q,

Thank you very much for sharing your pleasant feedback on tripadvisor.

We truly appreciate your loyalty and...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",rthomp4435,有典型的優秀的香格里拉酒店的設施和員工的一個很好的酒店,5,英國倫敦,,酒店稍微遠離城市中心，提供了城市的美景。歡迎是溫暖和高效的，我發現在香格里拉，房間里有需要的一切，一個非常舒適的逗留。幸運的是我進入了地平線俱樂部，那裡的工作人員態度認真，記得我的房間號和我的飲料的喜好，在每次訪問它總是驚訝和印象深刻的。在俱樂部提供的食物和飲料應該會吸引任何人。一個典型的令人印象深刻的香格里拉酒店。更多,"Dear rthomp4435,

Thank you very much for taking the time to share your recent ""Shangri-La experiences"" on tripadvisor.

We truly...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",KeeWin N,只是來這裡休息一個週末,4,馬來西亞梳邦再也,2016年11月,"有時候，當我們不能去海外度假，我們會嘗試在酒店度過週末，得到相同的感覺
這一次我們決定嘗試這家酒店，因為我們聽到很多好的東西
房間很大，服務非常好
我們甚至去屋頂游泳池游泳但游泳池有點小
但我們非常喜歡這裡的所有餐館
如果我們有其他海外朋友，我一定會推薦他們","KeeWin N您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的愉快的香格里拉住宿經驗。我們很榮幸的知道您對於我們整體的服務及設備感到滿意。我們衷心期盼能再度為您服務!

Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",JasperHsieh,對顧客服務差勁至極,1,賓夕法尼亞州Wilkinsburg,2016年11月,"星期五晚上前往香格里拉等待朋友一起吃飯，坐在非大廳的角落等待朋友，沒想到一個穿西裝的員工前來質問我有沒有房卡，我說沒有因為我是來等朋友的，他說這個位子是只有房客才可以享用的，請我離開。真的是很不尊重人。
所以我如果要前往香格里拉的餐廳吃飯或是找朋友，記得不能坐在飯店的任何一個地方，因為不是房客記得不要坐著只能站，阿不對說不定連站...更多","JasperHsieh您好,

非常謝謝您利用寶貴的時間在Tripadvisor上分享您的意見，我們衷心期盼能再度為您服務，祝您有個愉快的一天!

Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",1234567890chen,臨時入住，中午12點馬上有房間的旅館,3,台北市,2016年11月,中午12點臨時要訂房間，馬上有房間，但價格很貴。 房間還蠻大的，有些不錯的小設備。沒有免治馬桶，希望房間能增加泡澡的用品。 有免費的食物,"1234567890chen 您好：

非常謝謝您利用寶貴的時間在Tripadvisor上分享您近期的住宿經驗。

我們將針對您給予的意見做進一步的了解，並期待未來能再度為您服務。謝謝！

Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",bkhan2015,另一個家,5,巴基斯坦Islamabad Capital Territory,,在三十五樓住了5晚，享受了真正平和又舒適的環境。去樓頂遊泳池和坐在空中酒吧都是美妙的經歷。早餐很好，有很多品種，工作人員非常友好。附近有個小購物中心，就在隔壁，你可以買到必須的生活用品，也可以購物（雖然很貴），但是你步行5分鐘就可以乘坐地鐵步行到城裡，夜市和寺廟（非常受遊客歡迎）。如果你不喜歡當地的食物，漢堡王和麥克唐納德既阻礙...更多,"Dear bkhan2015,

Thank you very much for taking the time to leave a tripadvisor comment.

We are truly delighted to...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",breewong,設施一流，位置一般,5,香港,2016年10月,"老實說飯店的位置比較一般，最近的是六張犁站，大概也要走7、8分鐘，而且六張犁站也不在主要捷運線，常常要換線比較麻煩，但這裡來往機場是很方便，直接在門口附近就有機場巴士。

但飯店的設施是非常好的，頂樓是游泳池，就算不游泳，也要去看一下! 因為那裡也是景觀樓層，可以看到整個台北市、當然還有101，景觀非常好，一定要去拍照。另外房間...更多","breewong您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的住宿經驗。我們很榮幸的知道您對於我們整體的服務及設備感到滿意。我們衷心期盼能再度為您服務，祝您有個愉快的一天!

Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Sharyn083,住宿的好地方,5,澳洲阿德雷德,,我們住了6個晚上，還想多待幾天。員工人很好，服務很周到。我們選擇了地平線俱樂部風格的房間，這是我們住過的最好的酒店之一，當然也符合香格里拉的聲譽。由於最近的龍捲風，我們的房間也遇到幾個問題，但這些都快速和專業的被解決了。俱樂部的員工很友好和樂於助人，用這樣奢華的方式來好好享受你的假期。感謝您所有優秀的工作人員，使我們的住宿感到棒...更多,"Dear Sharyn083,

Thank you for your recent stay at our hotel in Taipei.

I appreciate that you took the time...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",candytsesw,"房間很大很舒適, 設備、服務都非常好!",5,香港,2016年10月,"房間大，尊貴且舒適。早餐和buffet菜色豐盛.
服務員服務良好，能用流利英語溝通.
頂樓遊泳池很贊，夜景很美.
總體說來，無論商​​務還是旅遊，均是優質住宿之選","candytsesw您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的愉快的香格里拉住宿體驗。我們很榮幸的知道您對於我們整體的服務及設備感到滿意。我們衷心期盼能再度為您服務，祝您有個美好的一天!


Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",YICHING_CHANG,房間顯得略舊，餐飲菜色還可以,4,台灣台北,2016年9月,"地理環境相當便利，白天去逛街，晚上pub小酌都很方便！
一樓的麵包坊品質都不差，六樓的自助餐品項多質量也好，十分值得去吃美食。","YICHING_CHANG 您好：

非常謝謝您利用寶貴的時間在Tripadvisor上分享您近期於我們的飯店住宿及餐飲經驗。也感謝您給予的的支持與肯定。我們衷心期盼能再度為您服務，祝您有個愉快的一天!

Best regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Compass663237,很舒適的飯店,5,,2016年6月,因為它夠舒適、便捷，建議選擇豪華閣超豪華客房入住，不但提供豪華閣禮遇且房型為非套房之最高等級客房，還可遠眺台北１０１景觀，城市渡假悠然自得。,"佳儀 林您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的住宿經驗。我們很榮幸的知道您對於我們整體的服務及設備感到滿意。我們衷心期盼能再度為您服務，祝您有個愉快的一天!


Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",KirkiC,Brunch,5,,2016年9月,"偷閒地享用了週日早午餐，
搭配著38高樓眺望台北市景，
想不到更好渡過假日的方式了！
最適合和朋友來靜靜享受這一切！

味蕾和視覺都滿足了😚","Kirki C 您好：

非常謝謝您利用寶貴的時間在Tripadvisor上分享您最近的餐飲經驗。也感謝您給予的支持與肯定。我們衷心期盼能再度為您服務，祝您有個愉快的一天!

Best regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",MosesLin,好好的酒店住宿體驗,5,,2016年8月,這可能是我們體驗過的最好的酒店的熱情好客和水平方面所提供的服務和豐盛的所有的工作人員都很熱情。 讓我感動的是他們主動幫我們心中幾乎有我們需要的一切。 謝謝你這麼多！ 所有員工都熱情親切有禮，尢其實是服務臺經理主動提出親自遠道去幫我們買手信，為的是省下時間讓我們多點觀光，超感動解下另一位女經理在早餐時段看見客人獨坐餐堂，竟多次友善...更多,"MosesLin您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的愉快的香格里拉住宿經驗。我們很榮幸的知道您對於我們整體的服務及設備感到滿意。我們衷心期盼能再度為您服務，祝您有個美好的一天!


Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",ronald610,中國風奢華酒店,4,台灣宜蘭市,2016年9月,今年已三度入住此酒店，若問我為何如此頻繁的選擇這家酒店做為旅遊渡假之選，其實原因很簡單，因為它夠舒適、便捷，建議選擇豪華閣超豪華客房入住，不但提供豪華閣禮遇且房型為非套房之最高等級客房，還可遠眺台北１０１景觀，城市渡假悠然自得。,"ronald610您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的住宿經驗。我們很榮幸的知道您對於我們整體的服務及設備感到滿意。我們衷心期盼能再度為您服務，祝您有個愉快的一天!


Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",TerryHo0724,五星級酒店，設備、服務無庸置疑,5,台灣台北,2016年9月,"一進飯店，香味撲鼻而來，專屬香格里拉酒店的氣味，標示其獨特和與眾不同。
飯店人員專業而親切，提供附近吃喝玩樂、按摩及交通指引。
飯店與購物中心、商辦大樓連成一器，位於臺北市市中心的精華地段，但離最近的捷運有段距離。","TerryHo0724您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的住宿經驗。我們很榮幸的知道您對於我們整體的服務及設備感到滿意。我們衷心期盼能再度為您服務，祝您有個愉快的一天!


Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",Gorgeousbella,出人意料的棒!,4,菲律賓馬加智,,有幾天住在這家酒店真的很享受，房間很寬敞舒適。除了香格里拉以外最棒的了，床很大，風景也很棒。在酒店的餐廳很好，像上海的pavilllion一樣。酒吧很適合消遣，你可以看到台北101。大樓頂部有泳池，在這裏你可以好好的端詳101。更多,"Dear Gorgeousbella,

Thank you very much for taking the time to share your recent stay feedback on tripadvisor.

We greatly...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",captaintorng,高貴優雅、蘊藏東方神秘魅力的一流飯店,5,台灣台北,2015年11月,高聳的建築，裝潢高貴優雅、蘊藏東方神秘魅力。房間大小適中，尊貴且舒適。早餐和buffet菜色豐盛。玻璃帷幕的咖啡廳，設計相當有特色，可以欣賞窗外的美麗市景，是一大賣點。,"captaintorng您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的住宿經驗。我們很榮幸的知道您對於我們重新裝修後的客房及整體服務感到滿意。我們衷心期盼能再度為您服務，祝您有個愉快的一天!


Best Regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",candy,因公出差,4,las pinas,,因為商務會議我們在這裏住了3天，期間所有的會議都在這家酒店裡進行。這裏的食物服務和房間都非常完美。這裏還有小會議室對我們團隊非常適用。酒店就在購物中心旁邊，你可以去喝咖啡，購物或是吃飯。更多,"Dear Marticandylap,

Thank you very much for staying with us and for taking the time to share your feedback on...更多"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",ericlaishu,需加強隔音,3,香港,2016年7月,大堂服務員服務良好，能用流利英語溝通。可是房間隔音功能不足，晚上經過聽到走廊人客的腳步。不過房間很大，十分乾淨。,"ericlaishu 您好：

非常謝謝您利用寶貴的時間在Tripadvisor上分享您最近在飯店的住宿經驗。也感謝您給予我們的意見與肯定。我們衷心期盼能再度為您服務，祝您有個愉快的一天!

Best regards,
Emil Leung
General Manager"
"遠東國際大飯店Shangri-La's Far Eastern Plaza Hotel, Taipei",TerryHo0724,五星級酒店，設備、服務無庸置疑,5,台灣台北,2016年9月,"一進飯店，香味撲鼻而來，專屬香格里拉酒店的氣味，標示其獨特和與眾不同。
飯店人員專業而親切，提供附近吃喝玩樂、按摩及交通指引。
飯店與購物中心、商辦大樓連成一器，位於臺北市市中心的精華地段，但離最近的捷運有段距離。","TerryHo0724您好,

非常謝謝您利用寶貴的時間在Tripadvisor上與我們分享您的住宿經驗。我們很榮幸的知道您對於我們整體的服務及設備感到滿意。我們衷心期盼能再度為您服務，祝您有個愉快的一天!


Best Regards,
Emil Leung
General Manager"
